title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
Them,0,tt0465203,fr,Ils,"Lucas and Clementine live peacefully in their isolated country house, but one night they wake up to strange noise. They're not alone... and a group of hooded assailants begin to terrorize them throughout the night.",19/07/2006,77.0,They're already inside,2727971
DuckTales: The Movie - Treasure of the Lost Lamp,0,tt0099472,en,DuckTales: The Movie - Treasure of the Lost Lamp,"Scrooge McDuck, his dimwitted pilot Launch Pad, and his newphews Huey, Dewey and Louie, with Webby, arrive in Egypt where Scrooge finds the lost treasure of Collie Baba, unbeknownst to Scrooge, a magic lamp was included inside the treasure, so while the nephews have fun with the genie, they all have no idea that they're being stalked by a power hungry sorceror named Murlock and his dimwitted thief.",03/08/1990,74.0,Scrooge McDuck's First Full-Length Animated Feature Film.,18115724
Valentine,0,tt0242998,en,Valentine,Five friends are stalked and murdered by a masked assailant while preparing for Valentine's Day.,01/02/2001,96.0,Remember that kid everyone ignored on Valentineâ€™s Day? - He remembers you.,16300000
Picnic at Hanging Rock,0,tt0073540,en,Picnic at Hanging Rock,"In the early 1900s, Miranda attends a girls boarding school in Australia. One Valentine's Day, the school's typically strict headmistress treats the girls to a picnic field trip to an unusual but scenic volcanic formation called Hanging Rock. Despite rules against it, Miranda and several other girls venture off. It's not until the end of the day that the faculty realizes the girls and one of the teachers have disappeared mysteriously.",02/09/1975,115.0,On St. Valentine's Day in 1900 a party of schoolgirls set out to picnic at Hanging Rock ... Some were never to return.,84744
Tough Guys,10000000,tt0092105,en,Tough Guys,"Harry Doyle (Lancaster) and Archie Lang (Douglas) are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. Harry and Archie realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt. Archie, who spent his prison time pumping himself up, easily picks up a 20-year-old aerobics instructor. Harry, on the other hand, has to waste away his days in a nursing home. They both have festering resentments -- Archie for having to endure a humiliating job as a busboy; Harry for having to endure patronizing attitudes toward senior citizens. The two old pals finally go back to what they know best. After successfully robbing an armored car, they decide to rob the same train that they robbed thirty years ago.",03/10/1986,104.0,They're Out To Teach A New World Some Old Tricks.,21458229
Hairspray,2000000,tt0095270,en,Hairspray,"Ample teen Tracy Turnblad wants nothing more than to be on the hip local TV dance program, ""The Corny Collins Show"" -- and when her dream comes true, her lively moves and bubbly personality meet with unexpected popularity. But after witnessing firsthand the terrible state of race relations in 1960s Baltimore, Turnblad becomes an outspoken advocate for desegregation.",16/02/1988,92.0,The world was in a mess... but their hair was perfect!!,6671108
Darkness,0,tt0273517,en,Darkness,"A teenage girl moves into a remote countryside house with her family, only to discover that their gloomy new home has a horrifying past that threatens to destroy the family.",02/10/2002,102.0,A house. A past. A secret. Will you dare enter?,12241855
Vera Drake,11000000,tt0383694,en,Vera Drake,Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain â€“ a conflict that leads to tragedy for her family.,22/10/2004,125.0,Wife. Mother. Criminal.,13300000
Angel-A,15000000,tt0473753,fr,Angel-A,A beautiful and mysterious woman helps an inept scam artist get his game together...but is their meeting purely coincidence?,21/12/2005,91.0,,9995168
City Slickers II: The Legend of Curly's Gold,0,tt0109439,en,City Slickers II: The Legend of Curly's Gold,"On Mitch Robbins 40th birthday begins quite well until he returns home and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil and unfortunately with Glen he tries to find the hidden gold of Curly's father in the desert of Arizona.",10/06/1994,116.0,,43
Warlock,7000000,tt0098622,en,Warlock,"A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit. A Warlock (Julian Sands) is taken captive in Boston, Massachusetts in 1691 by a witch-hunter Giles Redferne (Richard Grant).  He is sentenced to death for his activities, including the bewitching of Redferne's bride-to-be, but before the execution a demon appears and propels the Warlock forward in time to 20th century Los Angeles, California. Redferne follows through the portal. The Warlock attempts to assemble The Grand Grimoire, a Satanic book that will reveal the ""true"" name of God.  Redferne and the Warlock then embark on a cat-and-mouse chase with the Grand Grimoire, and Kassandra (Lori Singer), a waitress who encounters Giles while he's attempting to find Warlock.",01/06/1989,103.0,Satan also has one son.,9094451
Cape Fear,0,tt0055824,en,Cape Fear,"Sam Bowden witnesses a rape committed by Max Cady and testifies against him. When released after 8 years in prison, Cady begins stalking Bowden and his family but is always clever enough not to violate the law.",12/04/1962,105.0,Now he had only one weapon left - murder! ...To prevent an even more shocking crime!,103000000
Bowfinger,55000000,tt0131325,en,Bowfinger,"On the verge of bankruptcy and desperate for his big break, aspiring filmmaker Bobby Bowfinger concocts a crazy plan to make his ultimate dream movie. Rallying a ragtag team that includes a starry-eyed ingenue, a has-been diva and a film studio gofer, he sets out to shoot a blockbuster featuring the biggest star in Hollywood, Kit Ramsey -- only without letting Ramsey know he's in the picture.",12/08/1999,97.0,The con is on.,98625775
Blood Simple,1500000,tt0086979,en,Blood Simple,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",07/09/1984,97.0,Breaking up is hard to do.,3851855
Welcome to the Dollhouse,0,tt0114906,en,Welcome to the Dollhouse,An unattractive 7th grader struggles to cope with suburban life as the middle child with un-attentive parents and bullies at school.,24/05/1995,88.0,Not all girls want to play with dolls.,5
Frost/Nixon,0,tt0870111,en,Frost/Nixon,"For three years after being forced from office, Nixon remained silent. But in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the Watergate scandal that ended his presidency. Nixon surprised everyone in selecting Frost as his televised confessor, intending to easily outfox the breezy British showman and secure a place in the hearts and minds of Americans. Likewise, Frost's team harboured doubts about their boss's ability to hold his own. But as the cameras rolled, a charged battle of wits resulted.",15/10/2008,122.0,400 million people were waiting for the truth.,18593156
Suburban Commando,0,tt0103003,en,Suburban Commando,"Shep Ramsey is an interstellar hero, righting wrongs, etc. His ship is damaged after a fight with an interstellar nasty and he must hide out on Earth until it can recharge. He leaves his power suit at home, but still finds himself unable to allow wrongs to go unrighted and so mixes it up with bad drivers, offensive paperboys, muggers and the like.",04/10/1991,88.0,The Wilcoxes were having some problems around the neighborhood... until the ultimate security system landed in their backyard.,8000000
Kazaam,20000000,tt0116756,en,Kazaam,Shaquille O'Neal as a rapping genie protects a little boy.,17/07/1996,93.0,The world's most powerful genie has just met his match,18937262
The Virgin Spring,0,tt0053976,sv,JungfrukÃ¤llan,"A harrowing tale of faith, revenge, and savagery in medieval Sweden.",08/02/1960,89.0,,700000
Camille Claudel,0,tt0094828,fr,Camille Claudel,"The life of Camille Claudel, a french scupltor who becomes the apprentice of Auguste Rodin and later his lover. Her passion for her art and Rodin drive her further away from reason and rationality.",07/12/1988,175.0,,201055
Teen Wolf,0,tt0090142,en,Teen Wolf,What's a high school kid got to do to be popular? Just let down his hair and howl! Starring Michael J. Fox (Back to the Future) Teen Wolf is an outrageous comedy about a shy teenager with more than a changing voice to contend with... he's a budding young werewolf! And when his new-found powers help him score at basketball - and with the popular girls - he has some pretty hairy decisions to make.,23/08/1985,91.0,He always wanted to be special... but he never expected this!,33086611
